epoch,K_mae,Phi_mae,Theta_mae,P_mae,T_mae,TPR_mae,FPR_mae,K_std,Phi_std,Theta_std,P_std,T_std
157,0.722753862,4.808982164,0.796854543,3.075977974,6.555186957,98.69368076,0.475848932,2.153694071,10.3584002,1.673128121,5.539945513,11.77182049
158,0.704327831,4.79648944,0.784906559,3.095300868,6.551922113,98.66788387,0.471625524,2.148422413,10.37456855,1.673952397,5.549605936,11.78624481
159,0.724648312,4.830328859,0.759869311,3.166560456,6.552484632,98.68322015,0.473057944,2.146849968,10.38601421,1.66814642,5.563747883,11.77740544
160,0.718632154,4.821905717,0.771839172,3.070892394,6.547600776,98.75147939,0.504313642,2.149259858,10.38217396,1.668244489,5.541202798,11.78373471
161,0.701001706,4.795265347,0.773139959,3.079880029,6.548936665,98.71336222,0.484182639,2.147378586,10.36447674,1.667563207,5.540110171,11.77901775
162,0.773861166,4.79538437,0.764720254,3.063806333,6.547278166,98.67654443,0.470740534,2.14623455,10.36271319,1.665625982,5.542363971,11.771065
163,0.700224657,4.793527275,0.772300428,3.066574037,6.540142,98.78458381,0.512454007,2.145597711,10.35795294,1.66595472,5.537861586,11.77373603
164,0.703504868,4.78221707,0.782704717,3.117634356,6.554946303,98.74292612,0.493995659,2.146507427,10.36942072,1.665680464,5.572075397,11.77571714
165,0.711995177,4.775700644,0.768759744,3.06935627,6.539484113,98.65227342,0.452595158,2.144789696,10.34849681,1.663492788,5.537587032,11.77634597
166,0.707642501,4.783948101,0.75793854,3.069754876,6.542735547,98.62751961,0.448392006,2.14465782,10.35401814,1.663151477,5.534277856,11.77931502
167,0.708046602,4.780810922,0.777547667,3.068184853,6.542582065,98.68792295,0.466989959,2.146160044,10.35654344,1.663886234,5.538522825,11.77683249
168,0.699750241,4.787807129,0.760111464,3.090710565,6.539768726,98.75112772,0.493041426,2.143636905,10.35214864,1.660057381,5.544907972,11.77776158
169,0.696685119,4.779303521,0.771950651,3.08879558,6.546907872,98.76282215,0.493668765,2.142168581,10.35892189,1.661063377,5.538365245,11.77426055
170,0.724534458,4.778504893,0.772730252,3.141113371,6.547486782,98.66367579,0.456409855,2.146874741,10.36071762,1.663170923,5.540046096,11.77413389
171,0.705290213,4.792575426,0.814880915,3.071788512,6.562438607,98.81860018,0.515248813,2.140913904,10.35462767,1.664920561,5.53817898,11.76536679
172,0.696343184,4.769277424,0.763361631,3.07926815,6.533533335,98.7519145,0.486692181,2.140239626,10.35101205,1.657443903,5.533612147,11.76727414
173,0.699634291,4.769403152,0.763820373,3.09907347,6.539863348,98.69407415,0.463349838,2.141597494,10.35491936,1.65765496,5.53211011,11.77232862
174,0.73022549,4.809429757,0.775463004,3.061725944,6.531333178,98.78561497,0.497706467,2.145788446,10.34756273,1.657607518,5.525679141,11.77302152
175,0.693313405,4.765136763,0.751614226,3.058390319,6.535416842,97.8946209,0.480903406,2.1401437,10.35749696,1.656536479,5.530066043,11.7859222
176,0.708462391,4.764566459,0.792122874,3.062929213,6.556762755,98.75807166,0.484982086,2.140129916,10.34371309,1.666681767,5.530329049,11.7721498
177,0.711314054,4.763611257,0.767625337,3.066928498,6.533782184,98.65272045,0.446349196,2.139728516,10.33495769,1.656052843,5.536871403,11.76195964
